position_title,skill_name,required_proficiency,weight,criticality,source_url
Risk Analyst,analyse financial performance of a company,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Risk Analyst,interpret financial statements,PROFICIENT,0.85,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Risk Analyst,track key performance indicators,COMPETENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Risk Analyst,comply with legal regulations,COMPETENT,0.70,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Risk Analyst,evaluate budgets,BASIC,0.55,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Investment Advisor,provide financial product information,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Investment Advisor,offer financial services,PROFICIENT,0.85,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Investment Advisor,analyse financial performance of a company,COMPETENT,0.80,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd
Investment Advisor,communicate with customers,COMPETENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089
Investment Advisor,comply with legal regulations,COMPETENT,0.65,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Bank Manager,manage staff,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
Bank Manager,manage budgets,PROFICIENT,0.85,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
Bank Manager,develop company strategies,PROFICIENT,0.80,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Bank Manager,ensure compliance with company regulations,COMPETENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
Bank Manager,establish daily priorities,COMPETENT,0.65,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
HR Manager,manage staff,PROFICIENT,0.90,CRITICAL,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9
HR Manager,develop organisational policies,COMPETENT,0.75,HIGH,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
HR Manager,manage relationships with stakeholders,COMPETENT,0.70,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
HR Manager,monitor company policy,BASIC,0.55,MEDIUM,https://esco.ec.europa.eu/en/classification/occupation?uri=http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f
