skill_category_code,skill_category_name,skill_category_description,family_code_hint,source_url
ESCO-TSC-THINKING,"Thinking skills and competences","ESCO transversal Level-1 category: critical thinking, analytical thinking, problem solving, creativity and decision making.",BUS-STRAT,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/transversal-knowledge-skills-and-competences
ESCO-TSC-SELFMGMT,"Self-management skills and competences","ESCO transversal Level-1 category: managing oneself, time, stress, adaptability, initiative and continuous learning.",HR-PERF,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/transversal-knowledge-skills-and-competences
ESCO-TSC-SOCIAL,"Social and communication skills and competences","ESCO transversal Level-1 category: cooperation, negotiation, leadership, empathy and intercultural communication.",COMM-INT,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/transversal-knowledge-skills-and-competences
ESCO-TSC-PHYSICAL,"Physical and manual skills and competences","ESCO transversal Level-1 category: dexterity, coordination, physical strength and manual handling competences.",OPS-LOG,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/transversal-knowledge-skills-and-competences
ESCO-TSC-LIFE,"Life skills and competences","ESCO transversal Level-1 category: civic, financial, environmental and health-related life competences.",HR-PPL,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/transversal-knowledge-skills-and-competences
ONET-2A1,"Content Skills (basic)","O*NET content-model 2.A.1: developed capacities that facilitate learning - Reading Comprehension, Active Listening, Writing, Speaking, Mathematics, Science.",COMM-WRITTEN,https://www.onetonline.org/find/descriptor/browse/2.A
ONET-2A2,"Process Skills (basic)","O*NET content-model 2.A.2: procedures that contribute to rapid knowledge acquisition - Critical Thinking, Active Learning, Learning Strategies, Monitoring.",HR-L&D,https://www.onetonline.org/find/descriptor/browse/2.A
ONET-2B1,"Social Skills (cross-functional)","O*NET content-model 2.B.1: developed capacities used to work with people to achieve goals - Coordination, Persuasion, Negotiation, Instructing, Service Orientation.",COMM-TEAM,https://www.onetonline.org/find/descriptor/browse/2.B
ONET-2B2,"Complex Problem Solving Skills (cross-functional)","O*NET content-model 2.B.2: developed capacities used to solve novel, ill-defined problems in complex real-world settings.",BUS-STRAT,https://www.onetonline.org/find/descriptor/browse/2.B
ONET-2B3,"Technical Skills (cross-functional)","O*NET content-model 2.B.3: developed capacities used to design, set up, operate and correct malfunctions involving machines or technological systems.",TECH-DEV,https://www.onetonline.org/find/descriptor/browse/2.B
ONET-2B4,"Systems Skills (cross-functional)","O*NET content-model 2.B.4: developed capacities used to understand, monitor and improve socio-technical systems - Judgment and Decision Making, Systems Analysis, Systems Evaluation.",OPS-PROC,https://www.onetonline.org/find/descriptor/browse/2.B
ONET-2B5,"Resource Management Skills (cross-functional)","O*NET content-model 2.B.5: developed capacities used to allocate resources efficiently - Time Management, Management of Financial/Material/Personnel Resources.",BUS-PM,https://www.onetonline.org/find/descriptor/browse/2.B
DIGCOMP-INFO,"Information and data literacy","DigComp 2.x competence area 1 (integrated into ESCO digital skills): browsing, evaluating and managing data, information and digital content.",DATA-ANA,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/skills-pillar
DIGCOMP-COMM,"Communication and collaboration (digital)","DigComp 2.x competence area 2: interacting, sharing, collaborating and managing identity through digital technologies.",COMM-INT,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/skills-pillar
DIGCOMP-CONTENT,"Digital content creation","DigComp 2.x competence area 3: developing, integrating and re-elaborating digital content, including programming and copyright awareness.",CREATIVE,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/skills-pillar
DIGCOMP-SAFETY,"Safety (digital)","DigComp 2.x competence area 4: protecting devices, personal data, privacy, health and the environment in digital contexts.",TECH-SEC,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/skills-pillar
DIGCOMP-PROBLEM,"Problem solving (digital)","DigComp 2.x competence area 5: solving technical problems and identifying digital competence gaps and needs.",TECH-INFRA,https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/skills-pillar
