skill_family_code,skill_family_name,skill_family_description,skill_family_metadata,source_url
ISCO::53,Personal Care Workers,"ISCO-08 Sub-Major Group 53 — workers providing personal care and assistance in health and social services for children, the elderly, and the sick.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::54,Protective Services Workers,"ISCO-08 Sub-Major Group 54 — workers protecting individuals and property against fire, crime, and other hazards.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::71,"Building and Related Trades Workers (excluding Electricians)","ISCO-08 Sub-Major Group 71 — workers constructing, maintaining, and repairing buildings and related structures.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::72,"Metal, Machinery and Related Trades Workers","ISCO-08 Sub-Major Group 72 — workers forming, casting, welding, and machining metal, and fitting and maintaining machinery.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::74,Electrical and Electronic Trades Workers,"ISCO-08 Sub-Major Group 74 — workers installing and maintaining electrical wiring, machinery, and electronic equipment.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::81,Stationary Plant and Machine Operators,"ISCO-08 Sub-Major Group 81 — workers operating and monitoring stationary industrial plant and machinery.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::83,Drivers and Mobile Plant Operators,"ISCO-08 Sub-Major Group 83 — workers driving and operating trains, motor vehicles, and mobile machinery.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ISCO::91,Cleaners and Helpers,"ISCO-08 Sub-Major Group 91 — workers performing cleaning and housekeeping tasks in homes and commercial establishments.","{""taxonomy"": ""ISCO-08"", ""level"": ""sub_major_group""}",https://www.ilo.org/publications/international-standard-classification-occupations-2008-isco-08-structure
ESCO::working_with_computers,Working with Computers,"ESCO top-level skill group — using computers and digital technologies, programming, and managing information and data.","{""taxonomy"": ""ESCO"", ""level"": ""skill_group_l1"", ""reusability"": ""cross-sectoral""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::information_skills,Information Skills,"ESCO top-level skill group — collecting, processing, storing, and analysing information and documentation.","{""taxonomy"": ""ESCO"", ""level"": ""skill_group_l1"", ""reusability"": ""cross-sectoral""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::management_skills,Management Skills,"ESCO top-level skill group — managing activities, resources, people, and organisations.","{""taxonomy"": ""ESCO"", ""level"": ""skill_group_l1"", ""reusability"": ""cross-sectoral""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::handling_and_moving,Handling and Moving,"ESCO top-level skill group — handling, moving, loading, and transporting objects, materials, and goods.","{""taxonomy"": ""ESCO"", ""level"": ""skill_group_l1"", ""reusability"": ""cross-sectoral""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::working_with_machinery,Working with Machinery and Specialized Equipment,"ESCO top-level skill group — operating, monitoring, and maintaining machinery, tools, and specialized equipment.","{""taxonomy"": ""ESCO"", ""level"": ""skill_group_l1"", ""reusability"": ""cross-sectoral""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::transversal_skills,Transversal Skills and Competences,"ESCO sub-classification — core competences relevant across a broad range of occupations and economic sectors, including thinking, communication, and self-management.","{""taxonomy"": ""ESCO"", ""level"": ""sub_classification"", ""reusability"": ""transversal""}",https://esco.ec.europa.eu/en/about-esco/escopedia/escopedia/transversal-knowledge-skills-and-competences
ESCO::language_skills,Language Skills and Knowledge,"ESCO sub-classification — understanding, speaking, reading, and writing in mother tongue and foreign languages.","{""taxonomy"": ""ESCO"", ""level"": ""sub_classification"", ""reusability"": ""transversal""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::knowledge,Knowledge,"ESCO sub-classification — bodies of facts, principles, theories, and practices related to a field of work or study.","{""taxonomy"": ""ESCO"", ""level"": ""sub_classification"", ""reusability"": ""sector-specific""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::assisting_and_caring,Assisting and Caring,"ESCO top-level skill group — providing assistance, care, and support services to individuals and groups.","{""taxonomy"": ""ESCO"", ""level"": ""skill_group_l1"", ""reusability"": ""cross-sectoral""}",https://esco.ec.europa.eu/en/classification/skill_main
ESCO::constructing,Constructing,"ESCO top-level skill group — building, installing, and maintaining structures, systems, and infrastructure.","{""taxonomy"": ""ESCO"", ""level"": ""skill_group_l1"", ""reusability"": ""cross-sectoral""}",https://esco.ec.europa.eu/en/classification/skill_main
